id,title,description,availability,condition,price,link,image_link,brand,gtin,product_type,quantity_to_sell_on_facebook
"40776","Ibanez Iceman UICT10 Tenor Ukulele in Midnight Metallic","Ibanez Iceman UICT10 Tenor Ukulele in Midnight Metallic by Ibanez. Tenor. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","1050.00 AED","https://www.akm-music.com/shop.html?product=40776","https://www.akm-music.com/assets/products/40776.webp","Ibanez","4549763302090","Tenor","25"
"22793","Ibanez ICHI00-VWH Electric Guitar","Ibanez ICHI00-VWH Electric Guitar by Ibanez. Electric Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","2699.00 AED","https://www.akm-music.com/shop.html?product=22793","https://www.akm-music.com/assets/products/22793.webp","Ibanez","4549763344915","Electric Guitar","25"
"22794","Ibanez ICHI10-VWM Electric Guitar","Ibanez ICHI10-VWM Electric Guitar by Ibanez. Electric Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","out of stock","new","3999.00 AED","https://www.akm-music.com/shop.html?product=22794","https://www.akm-music.com/assets/products/22794.webp","Ibanez","4549763295699","Electric Guitar","0"
"40246","Ibanez ICLS6HT Classic Guitar String","Ibanez ICLS6HT Classic Guitar String by Ibanez. Classical Guitar Strings. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","45.00 AED","https://www.akm-music.com/shop.html?product=40246","https://www.akm-music.com/assets/products/40246.webp","Ibanez","887802001035","Classical Guitar Strings","25"
"40264","Ibanez ICLS6NT Classic guitar String Set","Ibanez ICLS6NT Classic guitar String Set by Ibanez. Classical Guitar Strings. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","45.00 AED","https://www.akm-music.com/shop.html?product=40264","https://www.akm-music.com/assets/products/40264.webp","Ibanez","4515276641315","Classical Guitar Strings","25"
"40774","Ibanez IEBS5C 5-String Bass Guitar Strings - Light Top Medium Bottom, Silver","Ibanez IEBS5C 5-String Bass Guitar Strings - Light Top Medium Bottom, Silver by Ibanez. Bass Guitar Strings. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","109.00 AED","https://www.akm-music.com/shop.html?product=40774","https://www.akm-music.com/assets/products/40774.webp","Ibanez","4515276641254","Bass Guitar Strings","25"
"40237","Ibanez IFC1000 Fret Cleaning Kit","Ibanez IFC1000 Fret Cleaning Kit by Ibanez. Polishes and Cleaning Kits. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","69.00 AED","https://www.akm-music.com/shop.html?product=40237","https://www.akm-music.com/assets/products/40237.webp","Ibanez","4515276763185","Polishes and Cleaning Kits","25"
"40283","Ibanez IFR50M Foot Rest for Guitarist/Bassist Metal","Ibanez IFR50M Foot Rest for Guitarist/Bassist Metal by Ibanez. Microphone and Other Stands. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","89.00 AED","https://www.akm-music.com/shop.html?product=40283","https://www.akm-music.com/assets/products/40283.webp","Ibanez","4515276656906","Microphone and Other Stands","25"
"47188","Ibanez IGAB2540-BK Bag For Ac. & EL Guitar (double Bag)","Ibanez IGAB2540-BK Bag For Ac. & EL Guitar (double Bag) by Ibanez. Gig and Soft Bags. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","569.00 AED","https://www.akm-music.com/shop.html?product=47188","https://www.akm-music.com/assets/products/47188.webp","Ibanez","4549763061683","Gig and Soft Bags","25"
"40288","Ibanez IGB101 Gig Bag for Electric Guitar","Ibanez IGB101 Gig Bag for Electric Guitar by Ibanez. Gig and Soft Bags. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","99.00 AED","https://www.akm-music.com/shop.html?product=40288","https://www.akm-music.com/assets/products/40288.webp","Ibanez","4515110730045","Gig and Soft Bags","25"
"47183","Ibanez IGB2540-BK Bag For Electric Guitar (double Bag)","Ibanez IGB2540-BK Bag For Electric Guitar (double Bag) by Ibanez. Gig and Soft Bags. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","499.00 AED","https://www.akm-music.com/shop.html?product=47183","https://www.akm-music.com/assets/products/47183.webp","Ibanez","4549763061690","Gig and Soft Bags","25"
"40808","Ibanez IGB540-BK Powerpad® Guitar Gig Bag Designer Collection Black","Ibanez IGB540-BK Powerpad® Guitar Gig Bag Designer Collection Black by Ibanez. Gig and Soft Bags. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","out of stock","new","199.00 AED","https://www.akm-music.com/shop.html?product=40808","https://www.akm-music.com/assets/products/40808.webp","Ibanez","4549763061706","Gig and Soft Bags","0"
"40228","Ibanez IGB541-BR Gig Bag for Electric Guitar – Brown","Ibanez IGB541-BR Gig Bag for Electric Guitar – Brown by Ibanez. Gig and Soft Bags. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","199.00 AED","https://www.akm-music.com/shop.html?product=40228","https://www.akm-music.com/assets/products/40228.webp","Ibanez","4515276889717","Gig and Soft Bags","25"
"40230","Ibanez IGB541-NB Gig Bag for Electric Guitar – Navy Blue","Ibanez IGB541-NB Gig Bag for Electric Guitar – Navy Blue by Ibanez. Gig and Soft Bags. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","out of stock","new","199.00 AED","https://www.akm-music.com/shop.html?product=40230","https://www.akm-music.com/assets/products/40230.webp","Ibanez","4515276889755","Gig and Soft Bags","0"
"46953","Ibanez IGB541-WR Electric Guitar Bag","Ibanez IGB541-WR Electric Guitar Bag by Ibanez. Gig and Soft Bags. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","199.00 AED","https://www.akm-music.com/shop.html?product=46953","https://www.akm-music.com/assets/products/46953.webp","Ibanez","4515276889779","Gig and Soft Bags","25"
"40229","Ibanez IGB541D-BK Powerpad Gigbag - Black","Ibanez IGB541D-BK Powerpad Gigbag - Black by Ibanez. Gig and Soft Bags. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","out of stock","new","239.00 AED","https://www.akm-music.com/shop.html?product=40229","https://www.akm-music.com/assets/products/40229.webp","Ibanez","4549763061713","Gig and Soft Bags","0"
"40797","Ibanez IGB651-GY Powerpad Gig Bag for Electric Guitar Gray","Ibanez IGB651-GY Powerpad Gig Bag for Electric Guitar Gray by Ibanez. Gig and Soft Bags. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","359.00 AED","https://www.akm-music.com/shop.html?product=40797","https://www.akm-music.com/assets/products/40797.webp","Ibanez","4549763364760","Gig and Soft Bags","25"
"40798","Ibanez IGB651-KH Powerpad Gig Bag for Electric Guitar Khaki","Ibanez IGB651-KH Powerpad Gig Bag for Electric Guitar Khaki by Ibanez. Gig and Soft Bags. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","459.00 AED","https://www.akm-music.com/shop.html?product=40798","https://www.akm-music.com/assets/products/40798.webp","Ibanez","4549763364777","Gig and Soft Bags","25"
"40231","Ibanez IGB681-BL Powerpad Gig Bag for Electric Guitar Blue","Ibanez IGB681-BL Powerpad Gig Bag for Electric Guitar Blue by Ibanez. Gig and Soft Bags. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","459.00 AED","https://www.akm-music.com/shop.html?product=40231","https://www.akm-music.com/assets/products/40231.webp","Ibanez","4549763364791","Gig and Soft Bags","25"
